"","X_worker_id","X_trust","score","X_channel","X_country","X_region","X_city","X_ip","treatment","received_compliance_q","assigned","complied","treated","pct_score"
"63",44058261,1,0.866666666666667,"neodev","VEN","","","190.206.195.19","control",1,0,0,0,86.6666666666667
"64",44076457,1,0.96,"clixsense","VEN","25","Caracas","186.167.245.168","evaluation",1,1,1,1,96
"65",44079738,0.5,0.5,"clixsense","EGY","11","Cairo","197.38.223.136","publicgood",1,1,1,1,50
"66",44079738,1,0.92,"clixsense","EGY","","","197.38.6.124","evaluation",1,1,1,1,92
"67",44101988,0.9167,0.9,"clixsense","IND","10","Ladwa","49.32.59.102","control",1,0,1,0,90
"68",44144587,1,1,"neodev","VEN","25","Caracas","186.167.242.3","publicgood",0,1,0,0,100
"69",44159869,1,1,"clixsense","NIC","10","Managua","138.117.7.91","publicgood",1,1,1,1,100
"70",44165129,1,1,"neodev","VEN","19","Agua Fría","190.198.245.10","control",0,0,0,0,100
"71",44190274,1,1,"neodev","VEN","","","190.206.156.14","control",0,0,0,0,100
"72",44192774,1,1,"clixsense","IND","02","Palasa","103.44.14.213","evaluation",0,1,0,0,100
"73",44194675,1,1,"neodev","VEN","07","Valencia","186.14.129.209","control",0,0,0,0,100
"74",44194675,1,1,"neodev","VEN","07","Valencia","181.208.8.98","evaluation",0,1,0,0,100
"75",44222386,1,1,"neodev","VEN","25","Caracas","186.167.244.45","publicgood",0,1,0,0,100
"76",44223122,1,1,"neodev","VEN","25","Caracas","201.210.254.140","control",1,0,1,0,100
"77",44311593,1,0.9,"neodev","VEN","15","Guarenas","190.142.223.101","evaluation",1,1,1,1,90
"78",44314510,1,1,"neodev","VEN","04","Maracay","190.37.91.110","publicgood",0,1,0,0,100
"79",44318447,1,1,"neodev","VEN","20","San Cristóbal","186.95.251.220","publicgood",0,1,0,0,100
"80",44357992,1,1,"neodev","VEN","25","Caracas","186.188.11.67","publicgood",0,1,0,0,100
"81",44392447,1,0.9,"neodev","VEN","02","Barcelona","190.207.85.27","publicgood",1,1,1,1,90
"82",44393250,1,1,"clixsense","VNM","62","Dong Ha","222.252.243.171","control",0,0,0,0,100
"83",44433299,0.8,0.8,"neodev","VEN","25","Caracas","201.208.219.47","publicgood",0,1,0,0,80
"84",44434436,1,1,"clixsense","MDA","60","Balti","109.185.248.129","evaluation",0,1,0,0,100
"85",44475220,1,0.8,"neodev","VEN","02","Barcelona","190.207.65.239","control",1,0,0,0,80
"86",44475220,1,1,"neodev","VEN","","","201.242.125.115","evaluation",0,1,0,0,100
"87",44476229,1,0.8,"clixsense","TUR","55","Samsun","88.230.43.65","evaluation",1,1,1,1,80
"88",44500273,1,1,"neodev","VEN","15","Cúa","143.0.96.27","evaluation",0,1,0,0,100
"89",44502111,1,1,"neodev","VEN","04","Maracay","186.92.132.103","evaluation",1,1,1,1,100
"90",44505580,1,1,"neodev","VEN","25","Caracas","186.167.242.74","publicgood",0,1,0,0,100
"91",44517029,1,0.8,"clixsense","VEN","04","Maracay","190.37.66.112","publicgood",1,1,0,0,80
"92",44559403,1,1,"neodev","VEN","25","Caracas","186.88.31.38","control",0,0,0,0,100
"93",44569395,1,1,"clixsense","VEN","25","Caracas","186.185.181.135","publicgood",0,1,0,0,100
"94",44580994,1,1,"neodev","VEN","25","Caracas","186.185.147.7","publicgood",0,1,0,0,100
"95",44592322,0.6,0.6,"clixsense","TUR","75","Aksaray","78.176.109.125","publicgood",0,1,0,0,60
"96",44593879,1,1,"neodev","VEN","25","Caracas","190.202.205.236","control",0,0,0,0,100
"97",44601794,1,1,"neodev","VEN","","","190.201.112.25","control",0,0,0,0,100
"98",44606564,1,1,"clixsense","BGD","","","202.134.13.132","evaluation",0,1,0,0,100
"99",44626654,1,1,"neodev","VEN","15","Guarenas","186.14.29.59","evaluation",0,1,0,0,100
"100",44626654,1,1,"neodev","VEN","15","Guarenas","186.14.29.59","publicgood",0,1,0,0,100
"101",44628734,1,1,"clixsense","COL","","","161.18.103.38","control",0,0,0,0,100
"102",44630534,1,1,"clixsense","VEN","","","186.90.218.47","publicgood",0,1,0,0,100
"103",44678667,1,0.933333333333333,"neodev","VEN","","","201.210.223.159","control",1,0,1,0,93.3333333333333
"104",44678667,1,0.971428571428571,"neodev","VEN","20","San Cristóbal","186.95.225.72","publicgood",1,1,1,1,97.1428571428571
"105",44678667,1,0.96,"neodev","VEN","","","190.78.50.116","evaluation",1,1,1,1,96
"106",44681831,1,0.966666666666667,"neodev","VEN","","","201.210.222.106","control",1,0,1,0,96.6666666666667
"107",44681831,1,0.92,"neodev","VEN","","","190.78.36.118","publicgood",1,1,1,1,92
"108",44681831,1,0.914285714285714,"neodev","VEN","","","190.78.50.52","evaluation",1,1,1,1,91.4285714285714
"109",44695289,0.8,0.8,"clixsense","IDN","30","Tangerang","111.95.235.178","publicgood",0,1,0,0,80
"110",44732169,0.5,0.7,"clixsense","POL","","","5.173.179.248","publicgood",1,1,1,1,70
"111",44743138,1,1,"neodev","PER","15","Lima","190.237.168.205","publicgood",0,1,0,0,100
"112",44747839,1,0.7,"clixsense","VEN","25","Caracas","186.167.245.90","evaluation",1,1,1,1,70
"113",44749466,1,0.966666666666667,"neodev","VEN","20","San Cristóbal","186.95.241.164","publicgood",1,1,1,1,96.6666666666667
"114",44749466,1,0.916666666666667,"neodev","VEN","","","186.95.231.2","control",1,0,1,0,91.6666666666667
"115",44749466,1,0.975,"neodev","VEN","","","190.78.48.17","evaluation",1,1,1,1,97.5
"116",44770074,1,1,"clixsense","VEN","16","Alto De Los Godos","181.17.147.9","control",0,0,0,0,100
"117",44787880,1,1,"clixsense","VEN","","","190.76.249.139","publicgood",0,1,0,0,100
"118",44845129,1,1,"neodev","CHL","12","Santiago","190.160.11.30","control",1,0,1,0,100
"119",44845155,1,1,"clixsense","VEN","07","Valencia","190.199.203.241","control",0,0,0,0,100
"120",44912780,1,1,"clixsense","PER","15","Lima","181.176.96.80","publicgood",0,1,0,0,100
"121",44916295,1,1,"clixsense","RUS","","","90.154.4.56","publicgood",0,1,0,0,100
"122",44922586,1,0.7,"clixsense","UKR","03","Chernivtsi","109.229.28.233","evaluation",0,1,0,0,70
"123",44957095,0.9231,0.355555555555556,"gifthunterclub","ESP","54","Ciudad Real","185.61.205.219","publicgood",1,1,0,0,35.5555555555556
"124",44957095,1,0.771428571428571,"gifthunterclub","ESP","54","Ciudad Real","185.61.205.219","evaluation",1,1,0,0,77.1428571428572
"125",44978906,1,0.8,"clixsense","UKR","03","Chernivtsi","109.229.28.233","evaluation",1,1,1,1,80
"126",44979301,1,1,"neodev","VEN","18","Acarigua","190.207.146.62","control",0,0,0,0,100
"127",44985688,1,1,"neodev","VEN","","","190.77.206.30","control",0,0,0,0,100
"128",44985688,1,1,"neodev","VEN","","","190.198.136.216","publicgood",0,1,0,0,100
"129",44995421,1,0.7,"neodev","VEN","","","190.36.176.131","publicgood",1,1,0,0,70
"130",45008717,1,0.933333333333333,"clixsense","VEN","25","Caracas","186.167.251.147","evaluation",1,1,1,1,93.3333333333333
"131",45016061,1,0.75,"neodev","VEN","07","Valencia","190.203.64.122","publicgood",1,1,0,0,75
"132",45053577,1,1,"clixsense","UKR","03","Chernivtsi","109.229.28.233","publicgood",0,1,0,0,100
"133",45053577,1,0.75,"clixsense","UKR","03","Chernivtsi","109.229.28.233","evaluation",1,1,1,1,75
"134",45058546,1,1,"clixsense","USA","CT","Greenwich","65.249.163.133","control",0,0,0,0,100
"135",45061316,1,1,"neodev","VEN","","","190.200.14.151","evaluation",0,1,0,0,100
"136",45065671,1,0.733333333333333,"clixsense","VEN","02","Barcelona","190.207.64.202","control",1,0,0,0,73.3333333333333
"137",45074158,1,1,"clixsense","USA","FL","Miami","23.27.45.213","evaluation",0,1,0,0,100
"138",45080261,1,0.96,"clixsense","DEU","07","Oberhausen","2.247.243.44","publicgood",1,1,1,1,96
"139",45086319,1,1,"neodev","VEN","25","Caracas","201.210.245.106","control",0,0,0,0,100
"140",45120092,1,0.933333333333333,"clixsense","VEN","","","186.90.80.129","publicgood",1,1,1,1,93.3333333333333
"141",45120092,1,1,"clixsense","VEN","06","Puerto Ordaz","190.207.119.162","control",0,0,0,0,100
"142",45123800,1,0.933333333333333,"clixsense","VEN","","","190.74.167.247","publicgood",1,1,1,1,93.3333333333333
"143",45131917,1,0.963636363636364,"neodev","VEN","25","Caracas","201.243.196.131","control",1,0,1,0,96.3636363636364
"144",45136105,1,0.9,"clixsense","UKR","","","188.163.47.65","publicgood",1,1,1,1,90
"145",45136105,1,1,"clixsense","UKR","","","188.163.47.65","evaluation",1,1,1,1,100
"146",45137153,1,0.933333333333333,"feca","FRA","B5","Nantes","88.185.219.186","evaluation",1,1,1,1,93.3333333333333
"147",45155677,1,0.95,"feca","VEN","07","Valencia","190.202.185.192","control",1,0,1,0,95
"148",45155728,0.4,0.5,"feca","ROU","07","Botosani","79.115.146.248","publicgood",0,1,0,0,50
"149",45155800,1,0.7,"feca","SRB","00","Leskovac","178.149.137.120","evaluation",1,1,0,0,70
"150",45155862,1,1,"feca","SRB","02","Novi Sad","188.2.82.148","evaluation",0,1,0,0,100
"151",45156150,0.8333,0.9,"feca","EGY","06","Alexandria","197.50.143.203","publicgood",0,1,0,0,90
"152",45156150,1,0.8,"feca","EGY","06","Alexandria","197.50.143.203","evaluation",1,1,1,1,80
"153",45156824,1,0.95,"feca","HRV","21","Zagreb","93.136.107.203","control",1,0,1,0,95
"154",45157972,1,1,"feca","VEN","21","Valera","186.91.115.124","publicgood",0,1,0,0,100
"155",45158227,1,1,"feca","ECU","18","Quito","200.125.245.174","evaluation",0,1,0,0,100
"156",45158250,1,1,"feca","VEN","","","190.201.29.248","control",0,0,0,0,100
"157",45158900,1,1,"feca","IND","16","Mumbai","103.10.227.187","publicgood",1,1,1,1,100
"158",45158923,1,0.822222222222222,"feca","ESP","29","Madrid","83.46.37.129","control",1,0,1,0,82.2222222222222
"159",45158942,1,1,"feca","SRB","00","Leskovac","178.149.147.43","publicgood",0,1,0,0,100
"160",45159108,1,1,"feca","IDN","04","Jakarta","182.1.6.237","control",0,0,0,0,100
"161",45159138,1,1,"feca","VEN","25","Caracas","200.84.120.14","publicgood",0,1,0,0,100
"162",45159179,0.8,0.8,"feca","VEN","13","Barquisimeto","186.91.104.64","publicgood",0,1,0,0,80
"163",45159692,1,0.866666666666667,"feca","IND","28","Kolkata","103.85.97.157","evaluation",1,1,0,0,86.6666666666667
"164",45159721,1,1,"feca","VEN","19","Agua Fría","190.198.245.10","control",1,0,1,0,100
"165",45160456,1,1,"feca","PHL","E3","Olongapo City","120.29.100.203","control",0,0,0,0,100
"166",45160554,1,1,"feca","SRB","00","Belgrade","93.86.111.48","publicgood",0,1,0,0,100
"167",45160693,1,1,"feca","BRA","27","Biritiba-mirim","138.204.91.65","publicgood",0,1,0,0,100
"168",45161007,1,1,"feca","VEN","25","Caracas","186.167.249.155","control",0,0,0,0,100
"169",45161091,1,0.84,"feca","VEN","25","Caracas","190.202.224.97","evaluation",1,1,1,1,84
"170",45161091,1,0.95,"feca","VEN","","","190.77.44.97","control",1,0,1,0,95
"171",45161167,1,1,"feca","VEN","25","Caracas","186.185.150.95","publicgood",0,1,0,0,100
"172",45161174,1,1,"feca","BIH","02","Prijedor","134.90.134.235","publicgood",1,1,1,1,100
"173",45161246,1,1,"feca","IDN","30","Bandung","222.124.112.172","publicgood",0,1,0,0,100
"174",45161332,1,0.842857142857143,"neodev","ESP","31","Murcia","83.58.221.242","publicgood",1,1,1,1,84.2857142857143
"175",45161495,1,1,"feca","SRB","00","Belgrade","94.189.142.81","publicgood",0,1,0,0,100
"176",45162278,1,1,"feca","PHL","21","Talisay","180.190.175.173","publicgood",0,1,0,0,100
"177",45162371,1,0.7,"feca","USA","FL","Miami","23.27.45.175","control",1,0,0,0,70
"178",45162371,1,1,"feca","USA","FL","Miami","23.27.45.213","evaluation",0,1,0,0,100
"179",45162578,1,1,"feca","USA","NY","Rochester","216.126.193.3","publicgood",1,1,1,1,100
"180",45162633,1,0.7,"feca","VNM","13","","27.73.174.81","evaluation",1,1,1,1,70
"181",45163129,1,1,"feca","SRB","00","Nis","178.79.57.78","publicgood",0,1,0,0,100
"182",45163481,1,0.8,"feca","VEN","23","Maracaibo","200.93.51.25","publicgood",0,1,0,0,80
"183",45163481,1,1,"feca","VEN","23","Maracaibo","200.93.51.25","evaluation",0,1,0,0,100
"184",45163655,1,1,"feca","USA","NY","Rochester","216.126.193.3","publicgood",1,1,1,1,100
"185",45163668,1,1,"feca","PHL","B7","Cebu","180.190.194.253","evaluation",1,1,1,1,100
"186",45163668,1,0.9,"feca","PHL","B7","Cebu","180.190.194.253","publicgood",1,1,1,1,90
"187",45163976,0.8,0.8,"feca","EGY","","","102.186.67.127","publicgood",0,1,0,0,80
"188",45164269,0.75,0.75,"feca","EGY","","","154.237.81.248","publicgood",1,1,0,0,75
"189",45164269,1,1,"feca","EGY","","","154.237.62.209","evaluation",0,1,0,0,100
"190",45164555,1,1,"feca","COL","02","Medellin","190.165.1.60","publicgood",0,1,0,0,100
"191",45164555,1,0.933333333333333,"feca","COL","02","Medellin","190.165.1.60","evaluation",1,1,1,1,93.3333333333333
"192",45164600,0.6,0.6,"feca","EGY","17","Asyut","156.203.72.123","publicgood",0,1,0,0,60
"193",45164629,0.2,0.2,"feca","IDN","","","182.1.67.128","control",0,0,0,0,20
"194",45164659,1,1,"feca","VNM","20","Ho Chi Minh City","58.187.12.59","evaluation",1,1,1,1,100
"195",45164734,1,1,"feca","EGY","","","156.200.255.20","publicgood",1,1,1,1,100
"196",45164823,1,1,"feca","RUS","66","Saint Petersburg","176.116.249.137","evaluation",0,1,0,0,100
"197",45165569,1,1,"feca","SRB","00","Nis","94.228.227.41","publicgood",0,1,0,0,100
"198",45165569,1,0.942857142857143,"feca","SRB","00","Nis","178.79.57.78","evaluation",1,1,1,1,94.2857142857143
"199",45165679,1,0.833333333333333,"feca","SRB","00","Belgrade","109.245.227.10","publicgood",1,1,1,1,83.3333333333333
"200",45165692,1,0.75,"feca","SRB","00","Belgrade","109.245.227.214","publicgood",1,1,1,1,75
"201",45165925,1,1,"clixsense","EGY","11","Cairo","196.159.11.237","publicgood",0,1,0,0,100
"202",45166200,1,1,"feca","SRB","00","Belgrade","94.189.142.81","publicgood",0,1,0,0,100
"203",45166728,1,0.8,"feca","SRB","","","37.19.110.11","publicgood",1,1,0,0,80
"204",45167110,1,1,"feca","SRB","00","Belgrade","79.101.140.50","publicgood",1,1,1,1,100
"205",45169489,0.875,0.95,"feca","EGY","11","Cairo","41.237.63.252","publicgood",1,1,1,1,95
"206",45169521,1,0.942857142857143,"feca","SRB","00","Belgrade","77.46.214.172","evaluation",1,1,1,1,94.2857142857143
"207",45169827,0.875,0.9,"feca","VEN","","","190.36.18.187","publicgood",1,1,1,1,90
"208",45171183,1,0.72,"feca","COL","34","Bogota","179.51.109.34","control",1,0,1,0,72
"209",45171551,1,0.828571428571429,"feca","SRB","00","Beograd","85.222.170.104","publicgood",1,1,1,1,82.8571428571429
"210",45172014,1,0.925,"feca","SRB","00","Nis","94.228.227.41","evaluation",1,1,1,1,92.5
"211",45172279,1,0.6,"feca","EGY","11","Cairo","156.217.130.111","evaluation",1,1,0,0,60
"212",45172279,1,1,"feca","EGY","11","Cairo","156.217.130.111","publicgood",0,1,0,0,100
"213",45172391,1,0.6,"feca","EGY","05","Tanta","156.217.102.53","publicgood",1,1,0,0,60
"214",45172391,1,1,"feca","EGY","05","Tanta","156.216.200.7","evaluation",0,1,0,0,100
"215",45172610,1,0.65,"feca","BIH","01","Sarajevo","77.77.216.144","publicgood",1,1,1,1,65
