_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,animal_present,animal_present_gold,image_url,label
2237182476,4/7/2019 17:15:44,false,4695381826,,4/7/2019 17:15:27,false,clixsense,1.0,16712241,VEN,25,Caracas,190.72.145.5,yes,,https://i.imgur.com/lkfdlp0.png,Butterfly
2237182477,4/7/2019 17:15:34,false,4695381619,,4/7/2019 17:15:28,false,gifthunterclub,1.0,44957095,ESP,54,Ciudad Real,185.61.205.219,yes,,https://i.imgur.com/uLFynET.png,Butterfly
2237182477,4/7/2019 17:15:39,false,4695381725,,4/7/2019 17:15:27,false,clixsense,1.0,6335542,GRC,29,Lamía,79.130.96.150,yes,,https://i.imgur.com/uLFynET.png,Butterfly
2237182477,4/7/2019 17:15:44,false,4695381824,,4/7/2019 17:15:27,false,clixsense,1.0,16712241,VEN,25,Caracas,190.72.145.5,yes,,https://i.imgur.com/uLFynET.png,Butterfly
2237182478,4/7/2019 17:15:34,false,4695381611,,4/7/2019 17:15:28,false,gifthunterclub,1.0,44957095,ESP,54,Ciudad Real,185.61.205.219,yes,,https://i.imgur.com/dZtaknj.png,Butterfly
2237182478,4/7/2019 17:15:39,false,4695381727,,4/7/2019 17:15:27,false,clixsense,1.0,6335542,GRC,29,Lamía,79.130.96.150,yes,,https://i.imgur.com/dZtaknj.png,Butterfly
2237182478,4/7/2019 17:15:44,false,4695381820,,4/7/2019 17:15:27,false,clixsense,1.0,16712241,VEN,25,Caracas,190.72.145.5,yes,,https://i.imgur.com/dZtaknj.png,Butterfly
2237182479,4/7/2019 17:15:41,false,4695381764,,4/7/2019 17:15:35,false,gifthunterclub,1.0,44957095,ESP,54,Ciudad Real,185.61.205.219,yes,,https://i.imgur.com/SocKdXk.png,Butterfly
2237182479,4/7/2019 17:15:50,false,4695382070,,4/7/2019 17:15:38,false,feca,1.0,45164659,VNM,20,Ho Chi Minh City,58.187.12.59,yes,,https://i.imgur.com/SocKdXk.png,Butterfly
2237182479,4/7/2019 17:16:07,false,4695382623,,4/7/2019 17:15:36,false,feca,1.0,45169521,SRB,00,Belgrade,77.46.214.172,yes,,https://i.imgur.com/SocKdXk.png,Butterfly
2237182480,4/7/2019 17:15:41,false,4695381771,,4/7/2019 17:15:35,false,gifthunterclub,1.0,44957095,ESP,54,Ciudad Real,185.61.205.219,yes,,https://i.imgur.com/yeO7swk.png,Butterfly
2237182480,4/7/2019 17:15:50,false,4695382059,,4/7/2019 17:15:38,false,feca,1.0,45164659,VNM,20,Ho Chi Minh City,58.187.12.59,yes,,https://i.imgur.com/yeO7swk.png,Butterfly
