_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,animal_present,animal_present_gold,image_url,label
2236910129,4/6/2019 18:50:30,false,4693287178,,4/6/2019 18:50:09,false,eup_slw,1.0,36143603,TUR,"","",176.88.198.138,yes,,https://i.imgur.com/jOT5e7K.png,Butterfly
2236910130,4/6/2019 18:49:51,false,4693285860,,4/6/2019 18:49:42,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/lkfdlp0.png,Butterfly
2236910130,4/6/2019 18:50:25,false,4693287080,,4/6/2019 18:50:11,false,neodev,1.0,45016061,VEN,07,Valencia,190.203.64.122,yes,,https://i.imgur.com/lkfdlp0.png,Butterfly
2236910130,4/6/2019 18:50:30,false,4693287187,,4/6/2019 18:50:09,false,eup_slw,1.0,36143603,TUR,"","",176.88.198.138,yes,,https://i.imgur.com/lkfdlp0.png,Butterfly
2236910131,4/6/2019 18:49:51,false,4693285864,,4/6/2019 18:49:42,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/uLFynET.png,Butterfly
2236910131,4/6/2019 18:50:25,false,4693287074,,4/6/2019 18:50:11,false,neodev,1.0,45016061,VEN,07,Valencia,190.203.64.122,yes,,https://i.imgur.com/uLFynET.png,Butterfly
2236910131,4/6/2019 18:50:30,false,4693287192,,4/6/2019 18:50:09,false,eup_slw,1.0,36143603,TUR,"","",176.88.198.138,yes,,https://i.imgur.com/uLFynET.png,Butterfly
2236910132,4/6/2019 18:49:51,false,4693285861,,4/6/2019 18:49:42,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/dZtaknj.png,Butterfly
2236910132,4/6/2019 18:50:25,false,4693287083,,4/6/2019 18:50:11,false,neodev,1.0,45016061,VEN,07,Valencia,190.203.64.122,yes,,https://i.imgur.com/dZtaknj.png,Butterfly
2236910132,4/6/2019 18:50:30,false,4693287196,,4/6/2019 18:50:09,false,eup_slw,1.0,36143603,TUR,"","",176.88.198.138,yes,,https://i.imgur.com/dZtaknj.png,Butterfly
2236910133,4/6/2019 18:50:04,false,4693286287,,4/6/2019 18:49:52,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/SocKdXk.png,Butterfly
2236910133,4/6/2019 18:50:48,false,4693287966,,4/6/2019 18:50:24,false,neodev,1.0,44749466,VEN,20,San Cristóbal,186.95.241.164,yes,,https://i.imgur.com/SocKdXk.png,Butterfly
2236910133,4/6/2019 18:50:56,false,4693288106,,4/6/2019 18:50:21,false,feca,1.0,45171551,SRB,00,Beograd,85.222.170.104,yes,,https://i.imgur.com/SocKdXk.png,Butterfly
2236910134,4/6/2019 18:50:04,false,4693286291,,4/6/2019 18:49:52,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/yeO7swk.png,Butterfly
2236910134,4/6/2019 18:50:48,false,4693287960,,4/6/2019 18:50:24,false,neodev,1.0,44749466,VEN,20,San Cristóbal,186.95.241.164,yes,,https://i.imgur.com/yeO7swk.png,Butterfly
2236910134,4/6/2019 18:50:56,false,4693288102,,4/6/2019 18:50:21,false,feca,1.0,45171551,SRB,00,Beograd,85.222.170.104,yes,,https://i.imgur.com/yeO7swk.png,Butterfly
2236910135,4/6/2019 18:50:04,false,4693286281,,4/6/2019 18:49:52,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/Kk0jhJf.png,Butterfly
2236910135,4/6/2019 18:50:48,false,4693287964,,4/6/2019 18:50:24,false,neodev,1.0,44749466,VEN,20,San Cristóbal,186.95.241.164,yes,,https://i.imgur.com/Kk0jhJf.png,Butterfly
2236910135,4/6/2019 18:50:56,false,4693288111,,4/6/2019 18:50:21,false,feca,1.0,45171551,SRB,00,Beograd,85.222.170.104,yes,,https://i.imgur.com/Kk0jhJf.png,Butterfly
2236910136,4/6/2019 18:50:04,false,4693286279,,4/6/2019 18:49:52,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/Gz624M8.png,Butterfly
2236910136,4/6/2019 18:50:48,false,4693287962,,4/6/2019 18:50:24,false,neodev,1.0,44749466,VEN,20,San Cristóbal,186.95.241.164,yes,,https://i.imgur.com/Gz624M8.png,Butterfly
2236910136,4/6/2019 18:50:56,false,4693288117,,4/6/2019 18:50:21,false,feca,1.0,45171551,SRB,00,Beograd,85.222.170.104,yes,,https://i.imgur.com/Gz624M8.png,Butterfly
2236910137,4/6/2019 18:50:18,false,4693286755,,4/6/2019 18:50:05,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,no,,https://i.imgur.com/0TURv9h.png,Frog
2236910137,4/6/2019 18:50:42,false,4693287802,,4/6/2019 18:50:28,false,neodev,1.0,45016061,VEN,07,Valencia,190.203.64.122,no,,https://i.imgur.com/0TURv9h.png,Frog
2236910137,4/6/2019 18:51:25,false,4693289155,,4/6/2019 18:50:31,false,neodev,1.0,43684560,VEN,"","",186.95.243.52,yes,,https://i.imgur.com/0TURv9h.png,Frog
2236910138,4/6/2019 18:50:18,false,4693286777,,4/6/2019 18:50:05,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/10fW0Rr.png,Scorpion
2236910138,4/6/2019 18:50:42,false,4693287794,,4/6/2019 18:50:28,false,neodev,1.0,45016061,VEN,07,Valencia,190.203.64.122,yes,,https://i.imgur.com/10fW0Rr.png,Scorpion
2236910138,4/6/2019 18:51:25,false,4693289153,,4/6/2019 18:50:31,false,neodev,1.0,43684560,VEN,"","",186.95.243.52,yes,,https://i.imgur.com/10fW0Rr.png,Scorpion
2236910139,4/6/2019 18:50:18,false,4693286762,,4/6/2019 18:50:05,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,no,,https://i.imgur.com/1eavJef.png,Snail
2236910139,4/6/2019 18:50:42,false,4693287777,,4/6/2019 18:50:28,false,neodev,1.0,45016061,VEN,07,Valencia,190.203.64.122,yes,,https://i.imgur.com/1eavJef.png,Snail
2236910139,4/6/2019 18:51:25,false,4693289148,,4/6/2019 18:50:31,false,neodev,1.0,43684560,VEN,"","",186.95.243.52,no,,https://i.imgur.com/1eavJef.png,Snail
2236910140,4/6/2019 18:50:18,false,4693286766,,4/6/2019 18:50:05,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,no,,https://i.imgur.com/1FztWB1.png,Scorpion
2236910140,4/6/2019 18:50:42,false,4693287813,,4/6/2019 18:50:28,false,neodev,1.0,45016061,VEN,07,Valencia,190.203.64.122,no,,https://i.imgur.com/1FztWB1.png,Scorpion
2236910140,4/6/2019 18:51:25,false,4693289157,,4/6/2019 18:50:31,false,neodev,1.0,43684560,VEN,"","",186.95.243.52,yes,,https://i.imgur.com/1FztWB1.png,Scorpion
2236910141,4/6/2019 18:50:31,false,4693287231,,4/6/2019 18:50:19,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,yes,,https://i.imgur.com/1idNwLg.png,Scorpion
2236910141,4/6/2019 18:50:46,false,4693287929,,4/6/2019 18:50:33,false,neodev,1.0,44678667,VEN,20,San Cristóbal,186.95.225.72,yes,,https://i.imgur.com/1idNwLg.png,Scorpion
2236910141,4/6/2019 18:50:56,false,4693288110,,4/6/2019 18:50:32,false,eup_slw,1.0,36143603,TUR,"","",176.88.198.138,yes,,https://i.imgur.com/1idNwLg.png,Scorpion
2236910142,4/6/2019 18:50:31,false,4693287228,,4/6/2019 18:50:19,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,no,,https://i.imgur.com/1q731DL.jpg,Leaves
2236910142,4/6/2019 18:50:46,false,4693287934,,4/6/2019 18:50:33,false,neodev,1.0,44678667,VEN,20,San Cristóbal,186.95.225.72,yes,,https://i.imgur.com/1q731DL.jpg,Leaves
2236910142,4/6/2019 18:50:56,false,4693288126,,4/6/2019 18:50:32,false,eup_slw,1.0,36143603,TUR,"","",176.88.198.138,no,,https://i.imgur.com/1q731DL.jpg,Leaves
2236910143,4/6/2019 18:50:31,false,4693287236,,4/6/2019 18:50:19,false,neodev,1.0,45161332,ESP,31,Murcia,83.58.221.242,no,,https://i.imgur.com/1s9Ivtf.png,Snail
2236910143,4/6/2019 18:50:46,false,4693287938,,4/6/2019 18:50:33,false,neodev,1.0,44678667,VEN,20,San Cristóbal,186.95.225.72,no,,https://i.imgur.com/1s9Ivtf.png,Snail
